gold standard	entity	context
topic:3977	differential expression analysis	this genes were later identified through the differential expression analysis
data:3959	RNA-seq data	Raw RNA-seq data were processed using standard quality control pipelines to remove low-quality reads and adapter sequences
sw	DESeq2	Differential gene expression was assessed using DESeq2 with a false discovery rate threshold of 0.05
operation:4016	normalization	Read counts underwent normalization to account for library size differences and compositional biases across samples
data:3112	gene expression matrix	The gene expression matrix was constructed from aligned BAM files using featureCounts with default parameters
sw	edgeR	We employed edgeR to identify significantly differentially expressed genes between treatment and control conditions
data:3917	count matrix	A count matrix was generated by aggregating reads mapped to each gene across all samples in the experiment
topic:3975	quality control	"Quality control metrics including read depth, mapping rates, and GC content were evaluated for each sample"
sw	Seurat	Single-cell RNA sequencing data were analyzed using Seurat for dimensionality reduction and cell type identification
operation:4129	batch correction	Batch correction was applied to remove technical variation introduced by different sequencing runs using ComBat
data:1916	alignment	Sequencing reads were subjected to alignment against the reference genome using STAR aligner with default parameters
stato:0000172	FPKM	Gene expression levels were quantified as FPKM values to enable comparison across different transcript lengths
operation:3432	clustering	Hierarchical clustering was performed on normalized expression data to identify groups of co-expressed genes
sw	limma	The limma package was utilized for linear modeling of microarray data to detect differential expression
data:3967	transcript abundance	Transcript abundance was estimated using kallisto in pseudoalignment mode with 100 bootstrap samples
operation:3960	principal component analysis	Principal component analysis was conducted to visualize sample relationships and identify major sources of variation
operation:2436	gene set enrichment analysis	Gene set enrichment analysis revealed significant overrepresentation of immune response pathways in the upregulated genes
operation:4033	trimming	Adapter sequences and low-quality bases were removed through trimming using Trimmomatic with a quality score threshold of 20
format:2572	BAM files	Aligned BAM files were sorted and indexed using samtools before downstream quantification analysis
topic:3977	pseudobulk	Pseudobulk analysis was performed by aggregating single-cell counts within each cell type and condition
stato:0000040	MA plot	An MA plot was generated to visualize the relationship between average expression and log fold change for all genes
stato:0000126	volcano plot	A volcano plot was created to display statistical significance versus fold change for differential expression results
operation:2499	splicing	Alternative splicing events were detected using rMATS to identify differential exon usage between conditions
sw	kallisto	Transcript-level quantification was performed using kallisto with the reference transcriptome index
sw	featureCounts	Gene-level read counts were obtained using featureCounts from the Subread package with strand-specific counting
sw	STAR	RNA-seq reads were aligned to the reference genome using STAR with two-pass mode for improved accuracy
sw	samtools	"BAM file processing including sorting, indexing, and filtering was carried out using samtools version 1.9"
sw	Trimmomatic	Quality filtering and adapter removal were performed using Trimmomatic with sliding window quality trimming
sw	ComBat	ComBat was applied to adjust for batch effects while preserving biological variation in the expression data
stato:0000589	TPM	Expression values were normalized to TPM to account for transcript length and sequencing depth differences
operation:4027	UMAP	UMAP dimensionality reduction was applied to visualize high-dimensional single-cell data in two dimensions
operation:4038	t-SNE	t-SNE was used for non-linear dimensionality reduction to identify distinct cell populations in the dataset
operation:0226	cell type annotation	Cell type annotation was performed by comparing marker gene expression patterns against reference databases
operation:4047	pseudotime analysis	Pseudotime analysis was conducted using Monocle3 to infer developmental trajectories from single-cell data
operation:4047	trajectory inference	Trajectory inference revealed the progression of cell states along the differentiation pathway
x	differential abundance	Differential abundance testing was performed to identify cell types that changed significantly between conditions
topic:3360	marker genes	Marker genes for each cluster were identified by comparing expression levels within clusters versus all other cells
obi:0000451	normalized counts	Normalized counts were used for downstream statistical analysis to ensure comparability across samples
obi:0200094	log transformation	Log transformation was applied to expression values to stabilize variance and improve normality assumptions
operation:4069	variance stabilization	Variance stabilization transformation was performed using the DESeq2 vst function prior to visualization